Time,Execution Time
Thu Nov 26 14:56:11 2020,0.11347198486328125
Thu Nov 26 14:56:12 2020,0.11081695556640625
Thu Nov 26 14:56:13 2020,0.11457085609436035
Thu Nov 26 14:56:14 2020,0.11392521858215332
Thu Nov 26 14:56:15 2020,0.11441469192504883
Thu Nov 26 14:56:16 2020,0.10413837432861328
Thu Nov 26 14:56:17 2020,0.10232210159301758
Thu Nov 26 14:56:18 2020,0.10787200927734375
Thu Nov 26 14:56:20 2020,0.11040186882019043
Thu Nov 26 14:56:21 2020,0.10464000701904297
Thu Nov 26 14:56:22 2020,0.10639214515686035
Thu Nov 26 14:56:23 2020,0.11395502090454102
Thu Nov 26 14:56:24 2020,0.11159205436706543
Thu Nov 26 14:56:25 2020,0.1035311222076416
Thu Nov 26 14:56:26 2020,0.10266709327697754
Thu Nov 26 14:56:27 2020,0.11927080154418945
Thu Nov 26 14:56:28 2020,0.11540794372558594
Thu Nov 26 14:56:30 2020,0.11200213432312012
Thu Nov 26 14:56:31 2020,0.10321617126464844
Thu Nov 26 14:56:32 2020,0.10128307342529297
Thu Nov 26 14:56:33 2020,0.10214495658874512
Thu Nov 26 14:56:34 2020,0.11210107803344727
Thu Nov 26 14:56:35 2020,0.10233116149902344
Thu Nov 26 14:56:36 2020,0.11976313591003418
Thu Nov 26 14:56:37 2020,0.11866211891174316
Thu Nov 26 14:56:38 2020,0.11397504806518555
Thu Nov 26 14:56:40 2020,0.10764527320861816
Thu Nov 26 14:56:41 2020,0.09926891326904297
Thu Nov 26 14:56:42 2020,0.10071516036987305
Thu Nov 26 14:56:43 2020,0.11336803436279297
Thu Nov 26 14:56:44 2020,0.11165809631347656
Thu Nov 26 14:56:45 2020,0.11006689071655273
Thu Nov 26 14:56:46 2020,0.10771036148071289
Thu Nov 26 14:56:47 2020,0.10643577575683594
Thu Nov 26 14:56:49 2020,0.10489702224731445
Thu Nov 26 14:56:50 2020,0.10219097137451172
Thu Nov 26 14:56:51 2020,0.11692500114440918
Thu Nov 26 14:56:52 2020,0.10925102233886719
Thu Nov 26 14:56:53 2020,0.10604310035705566
Thu Nov 26 14:56:54 2020,0.11126518249511719
Thu Nov 26 14:56:55 2020,0.10511398315429688
Thu Nov 26 14:56:56 2020,0.1006462574005127
Thu Nov 26 14:56:57 2020,0.11446189880371094
Thu Nov 26 14:56:59 2020,0.11424517631530762
Thu Nov 26 14:57:00 2020,0.11198115348815918
Thu Nov 26 14:57:01 2020,0.10090899467468262
Thu Nov 26 14:57:02 2020,0.10162687301635742
Thu Nov 26 14:57:03 2020,0.09742999076843262
Thu Nov 26 14:57:04 2020,0.11193609237670898
Thu Nov 26 14:57:05 2020,0.10646200180053711
Thu Nov 26 14:57:06 2020,0.10835886001586914
Thu Nov 26 14:57:07 2020,0.10196781158447266
Thu Nov 26 14:57:09 2020,0.10780000686645508
Thu Nov 26 14:57:10 2020,0.10818886756896973
Thu Nov 26 14:57:11 2020,0.11234092712402344
